2026-07-17 08:46:22.243 [background-preinit] INFO  [cid=none] o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2026-07-17 08:46:22.358 [main] INFO  [cid=none] com.microlend.MicroLendApplication - Starting MicroLendApplication using Java 21.0.2 with PID 15932 (C:\Users\2503700\OneDrive - Cognizant\Desktop\Microlend\backend\target\classes started by 2503700 in C:\Users\2503700\OneDrive - Cognizant\Desktop\Microlend)
2026-07-17 08:46:22.360 [main] INFO  [cid=none] com.microlend.MicroLendApplication - The following 1 profile is active: "dev"
2026-07-17 08:46:24.964 [main] INFO  [cid=none] o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-07-17 08:46:25.328 [main] INFO  [cid=none] o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 328 ms. Found 18 JPA repository interfaces.
2026-07-17 08:46:27.616 [main] INFO  [cid=none] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8090 (http)
2026-07-17 08:46:27.644 [main] INFO  [cid=none] o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8090"]
2026-07-17 08:46:27.652 [main] INFO  [cid=none] o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-07-17 08:46:27.652 [main] INFO  [cid=none] o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.31]
2026-07-17 08:46:27.786 [main] INFO  [cid=none] o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-07-17 08:46:27.788 [main] INFO  [cid=none] o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 5321 ms
2026-07-17 08:46:28.782 [main] INFO  [cid=none] o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2026-07-17 08:46:28.978 [main] INFO  [cid=none] org.hibernate.Version - HHH000412: Hibernate ORM core version 6.5.3.Final
2026-07-17 08:46:29.109 [main] INFO  [cid=none] o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2026-07-17 08:46:29.670 [main] INFO  [cid=none] o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2026-07-17 08:46:29.765 [main] INFO  [cid=none] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2026-07-17 08:46:30.050 [main] INFO  [cid=none] com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@3b8b5b40
2026-07-17 08:46:30.057 [main] INFO  [cid=none] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2026-07-17 08:46:32.573 [main] INFO  [cid=none] o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2026-07-17 08:46:36.118 [main] INFO  [cid=none] o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2026-07-17 08:46:37.650 [main] INFO  [cid=none] o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2026-07-17 08:46:39.184 [main] INFO  [cid=none] c.m.b.service.KycStorageService - KYC storage root: C:\Users\2503700\OneDrive - Cognizant\Desktop\Microlend\uploads\kyc
2026-07-17 08:46:40.048 [main] WARN  [cid=none] o.s.b.a.s.s.UserDetailsServiceAutoConfiguration - 

Using generated security password: cbdfa7ff-240e-47b5-a9b0-60ae495d6337

This generated password is for development use only. Your security configuration must be updated before running your application in production.

2026-07-17 08:46:40.063 [main] INFO  [cid=none] o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with UserDetailsService bean with name inMemoryUserDetailsManager
2026-07-17 08:46:41.210 [main] INFO  [cid=none] o.s.b.a.e.web.EndpointLinksResolver - Exposing 2 endpoints beneath base path '/actuator'
2026-07-17 08:46:42.416 [main] INFO  [cid=none] o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8090"]
2026-07-17 08:46:42.516 [main] INFO  [cid=none] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8090 (http) with context path '/'
2026-07-17 08:46:42.576 [main] INFO  [cid=none] com.microlend.MicroLendApplication - Started MicroLendApplication in 21.395 seconds (process running for 22.31)
2026-07-17 08:46:43.294 [main] INFO  [cid=none] c.m.identity.bootstrap.DataSeeder - DataSeeder: created 5 seed users (default password redacted, forced reset on first login).
2026-07-17 08:48:24.291 [http-nio-8090-exec-1] INFO  [cid=none] o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-07-17 08:48:24.291 [http-nio-8090-exec-1] INFO  [cid=none] o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-07-17 08:48:24.295 [http-nio-8090-exec-1] INFO  [cid=none] o.s.web.servlet.DispatcherServlet - Completed initialization in 0 ms
2026-07-17 08:48:25.078 [http-nio-8090-exec-1] WARN  [cid=6132ccbe] c.m.i.s.JwtAuthenticationFilter - Rejected JWT: JWT expired 36518071 milliseconds ago at 2026-07-16T17:09:47.000Z. Current time: 2026-07-17T03:18:25.071Z. Allowed clock skew: 0 milliseconds.
2026-07-17 08:48:25.326 [http-nio-8090-exec-2] WARN  [cid=9224a88f] c.m.i.s.JwtAuthenticationFilter - Rejected JWT: JWT expired 36518326 milliseconds ago at 2026-07-16T17:09:47.000Z. Current time: 2026-07-17T03:18:25.326Z. Allowed clock skew: 0 milliseconds.
2026-07-17 08:48:41.564 [http-nio-8090-exec-3] INFO  [cid=9f646462] c.m.audit.service.LocalAuditService - AUDIT module=AUTH action=LOGIN_FAILED userId=1
2026-07-17 08:48:48.068 [http-nio-8090-exec-4] INFO  [cid=50dcd8aa] c.m.audit.service.LocalAuditService - AUDIT module=AUTH action=LOGIN_FAILED userId=1
2026-07-17 08:49:03.990 [http-nio-8090-exec-5] INFO  [cid=b466825d] c.m.audit.service.LocalAuditService - AUDIT module=AUTH action=LOGIN_SUCCESS_FORCE_RESET userId=1
2026-07-17 08:49:17.172 [http-nio-8090-exec-6] INFO  [cid=a51ccc8e] c.m.audit.service.LocalAuditService - AUDIT module=AUTH action=PASSWORD_RESET_COMPLETED userId=1
2026-07-17 08:49:46.030 [http-nio-8090-exec-9] INFO  [cid=a92ca038] c.m.audit.service.LocalAuditService - AUDIT module=LOAN_PRODUCT action=LOAN_PRODUCT_CREATED userId=1
2026-07-17 08:50:29.818 [http-nio-8090-exec-1] INFO  [cid=71a68e13] c.m.audit.service.LocalAuditService - AUDIT module=AUTH action=LOGIN_FAILED userId=null
2026-07-17 08:50:35.293 [http-nio-8090-exec-2] INFO  [cid=c026a111] c.m.audit.service.LocalAuditService - AUDIT module=AUTH action=LOGIN_FAILED userId=null
2026-07-17 08:50:42.483 [http-nio-8090-exec-3] INFO  [cid=e44ea771] c.m.audit.service.LocalAuditService - AUDIT module=AUTH action=LOGIN_SUCCESS_FORCE_RESET userId=2
2026-07-17 08:51:01.883 [http-nio-8090-exec-10] INFO  [cid=f0de8564] c.m.audit.service.LocalAuditService - AUDIT module=AUTH action=PASSWORD_RESET_COMPLETED userId=2
2026-07-17 08:51:20.354 [http-nio-8090-exec-1] INFO  [cid=4b68e8ef] c.m.audit.service.LocalAuditService - AUDIT module=CENTRE action=CENTRE_CREATED userId=2
2026-07-17 08:52:58.871 [http-nio-8090-exec-9] INFO  [cid=74d85d50] c.m.audit.service.LocalAuditService - AUDIT module=BORROWER action=BORROWER_REGISTERED userId=2
2026-07-17 08:54:35.340 [http-nio-8090-exec-6] INFO  [cid=3bba60e6] c.m.audit.service.LocalAuditService - AUDIT module=KYC action=KYC_UPLOADED userId=2
2026-07-17 08:55:04.559 [http-nio-8090-exec-5] INFO  [cid=70bd8aba] c.m.audit.service.LocalAuditService - AUDIT module=AUTH action=LOGIN_SUCCESS_FORCE_RESET userId=3
2026-07-17 08:55:16.625 [http-nio-8090-exec-7] INFO  [cid=53db3e04] c.m.audit.service.LocalAuditService - AUDIT module=AUTH action=PASSWORD_RESET_COMPLETED userId=3
2026-07-17 09:03:16.207 [http-nio-8090-exec-3] INFO  [cid=52b251ac] c.m.audit.service.LocalAuditService - AUDIT module=AUTH action=LOGIN_SUCCESS userId=2
2026-07-17 10:29:21.788 [SpringApplicationShutdownHook] INFO  [cid=none] o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2026-07-17 10:29:21.818 [SpringApplicationShutdownHook] INFO  [cid=none] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2026-07-17 10:29:21.851 [SpringApplicationShutdownHook] INFO  [cid=none] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2026-07-17 10:29:34.068 [background-preinit] INFO  [cid=none] o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2026-07-17 10:29:34.168 [main] INFO  [cid=none] com.microlend.MicroLendApplication - Starting MicroLendApplication using Java 21.0.2 with PID 3652 (C:\Users\2503700\OneDrive - Cognizant\Desktop\Microlend\backend\target\classes started by 2503700 in C:\Users\2503700\OneDrive - Cognizant\Desktop\Microlend)
2026-07-17 10:29:34.169 [main] INFO  [cid=none] com.microlend.MicroLendApplication - The following 1 profile is active: "dev"
